move	kind	widening	parents	enum_calls	raw	unique	rule_apps	policy_trans	materialized	merges	refused	exhausted	pending	trans_used
0	P	78	536	1011	63135	32028	32028	25382	25382	0	17	0	24847	25382
1	P	70	493	931	59174	36368	36368	25361	25263	98	15	0	24771	25263
2	P	53	461	885	52039	35720	35720	24814	24660	154	18	0	24200	24660
3	P	59	511	980	55837	34911	34911	26203	25681	522	19	0	25171	25681
4	P	62	532	1020	56870	34947	34947	26381	26106	275	20	0	25575	26106
5	P	62	532	1020	56838	34827	34827	26578	26517	61	20	0	25986	26517
6	P	62	549	1054	61126	31695	31695	26733	26653	80	20	0	26105	26653
7	P	75	627	1201	70209	29158	29158	27674	27410	264	25	0	26784	27410
8	P	73	637	1223	77781	29073	29073	27616	27338	278	25	0	26702	27338
9	P	91	770	1476	93036	28644	28644	28644	28640	4	31	0	27871	28640
10	P	87	723	1385	86880	26954	26954	26954	26087	867	30	0	25365	26087
11	P	86	697	1334	83592	27105	27105	27105	25242	1863	30	0	24546	25242
12	P	80	654	1252	78611	30147	30147	26708	24761	1947	27	0	24108	24761
13	P	77	650	1246	74360	31503	31503	27135	26279	856	26	0	25630	26279
14	P	74	623	1194	69325	31462	31462	26049	26013	36	25	0	25391	26013
15	P	72	613	1175	68531	32638	32638	26437	25406	1031	24	0	24794	25406
16	P	75	617	1181	67094	30681	30681	24837	23923	914	25	0	23307	23923
17	P	87	729	1397	69378	32045	32045	26139	25594	545	30	0	24866	25594
18	P	83	698	1338	72640	28666	28666	25330	24834	496	28	0	24137	24834
19	P	97	778	1488	82825	28436	28436	28436	28097	339	33	0	27320	28097
20	P	83	667	1276	70581	29073	29073	26942	26887	55	28	0	26221	26887
21	P	78	629	1203	63420	29111	29111	26664	25988	676	26	0	25360	25988
22	P	77	622	1190	60551	30221	30221	27301	26451	850	26	0	25830	26451
23	P	75	598	1143	60804	31588	31588	28192	27966	226	25	0	27369	27966
24	P	64	539	1033	59629	30265	30265	26143	25934	209	22	0	25396	25934
25	P	56	504	969	58047	28352	28352	25154	24913	241	19	0	24410	24913
26	P	65	577	1108	64190	27244	27244	25921	25329	592	22	0	24753	25329
27	P	69	585	1121	62893	29316	29316	27039	26026	1013	23	0	25442	26026
28	P	69	568	1087	57786	32587	32587	26619	25712	907	23	0	25145	25712
29	P	69	585	1121	59499	34628	34628	26063	24879	1184	23	0	24295	24879
