move	kind	widening	parents	enum_calls	raw	unique	rule_apps	policy_trans	materialized	merges	refused	exhausted	pending	trans_used
30	P	71	600	1150	65211	34310	34310	25366	24469	897	24	0	23870	24469
31	P	72	584	1117	69128	35686	35686	25512	23999	1513	24	0	23416	23999
32	P	67	544	1041	63446	36396	36396	25687	22483	3204	23	0	21940	22483
33	P	69	581	1113	62736	33047	33047	24841	24489	352	23	0	23909	24489
34	P	71	592	1134	65163	30885	30885	25157	25149	8	24	0	24558	25149
35	P	69	586	1123	65789	31246	31246	25596	25592	4	23	0	25007	25592
36	P	72	591	1131	64485	30878	30878	25728	25718	10	24	0	25128	25718
37	P	71	583	1116	58602	31506	31506	24732	24726	6	24	0	24144	24726
38	P	70	593	1137	58832	32407	32407	25057	24897	160	24	0	24305	24897
39	P	71	592	1134	57151	33684	33684	25868	25549	319	24	0	24958	25549
40	P	78	646	1237	62366	31309	31309	26130	25727	403	26	0	25082	25727
41	P	91	749	1434	68414	28899	28899	27380	26554	826	31	0	25806	26554
42	P	87	698	1335	72223	28764	28764	28764	28216	548	30	0	27519	28216
43	P	70	568	1087	60188	25313	25313	25313	24963	350	24	0	24396	24963
44	P	72	586	1121	60192	31413	31413	28095	27601	494	24	0	27016	27601
45	P	71	596	1142	59947	32044	32044	27666	27080	586	24	0	26485	27080
46	P	74	615	1178	60661	32266	32266	26860	26462	398	25	0	25848	26462
47	P	83	667	1276	62341	34556	34556	26243	25552	691	28	0	24886	25552
48	P	75	623	1193	64794	35504	35504	26396	25970	426	25	0	25348	25970
49	P	85	674	1288	75412	32717	32717	26734	26732	2	29	0	26059	26732
50	P	75	624	1195	68621	29607	29607	24735	24730	5	25	0	24107	24730
51	P	87	698	1335	75403	29419	29419	26476	25544	932	30	0	24847	25544
52	P	84	674	1289	66161	31258	31258	27829	27561	268	29	0	26888	27561
53	P	88	706	1350	64497	32683	32683	27825	27022	803	30	0	26317	27022
54	P	81	669	1281	67135	33528	33528	28206	27734	472	27	0	27066	27734
55	P	76	630	1207	72582	30695	30695	27036	27033	3	26	0	26404	27033
56	P	66	582	1118	70645	27780	27780	26597	26332	265	23	0	25751	26332
57	P	79	662	1268	79803	27726	27726	27726	26288	1438	26	0	25627	26288
58	P	71	600	1150	72761	29651	29651	26729	25264	1465	24	0	24665	25264
59	P	68	577	1106	70202	29818	29818	27097	26278	819	23	0	25702	26278
60	P	65	572	1098	69819	30165	30165	27315	26451	864	22	0	25880	26451
61	P	74	623	1194	71659	30337	30337	27009	26929	80	25	0	26307	26929
62	P	72	627	1203	71615	29959	29959	26286	26143	143	24	0	25517	26143
63	P	69	586	1123	65274	30479	30479	25547	25052	495	23	0	24467	25052
64	P	68	599	1150	64076	31568	31568	26556	25081	1475	23	0	24483	25081
65	P	80	669	1282	68782	31772	31772	26676	25623	1053	27	0	24955	25623
66	P	78	654	1253	69939	32823	32823	25281	24967	314	26	0	24314	24967
67	P	79	637	1218	69159	33560	33560	24927	24676	251	26	0	24040	24676
68	P	86	693	1326	72368	30730	30730	25764	25532	232	30	0	24840	25532
69	P	92	758	1451	76692	28551	28551	27232	27173	59	31	0	26416	27173
70	P	99	790	1510	82304	28736	28736	28736	27314	1422	33	0	26525	27314
71	P	88	713	1364	73762	27070	27070	27070	26111	959	30	0	25399	26111
72	P	83	681	1304	67656	27665	27665	27665	27469	196	28	0	26789	27469
73	P	85	683	1306	70061	27964	27964	27964	27769	195	29	0	27087	27769
74	P	79	665	1274	73323	27514	27514	27514	27246	268	26	0	26582	27246
75	P	84	701	1343	74688	27731	27731	27731	27195	536	29	0	26495	27195
76	P	74	623	1194	64134	29227	29227	26716	26334	382	25	0	25712	26334
77	P	69	568	1087	61963	30241	30241	27092	26641	451	23	0	26074	26641
78	P	65	530	1014	56515	32310	32310	26195	26104	91	22	0	25575	26104
79	P	56	485	931	54101	33529	33529	24941	24885	56	19	0	24401	24885
80	P	52	473	909	52483	35183	35183	25283	24885	398	17	0	24413	24885
81	P	54	471	904	50310	34979	34979	25188	25130	58	18	0	24660	25130
82	P	58	522	1003	53226	32400	32400	25493	25283	210	19	0	24762	25283
83	P	66	578	1110	60045	32824	32824	25916	25819	97	23	0	25242	25819
84	P	72	602	1153	68275	31222	31222	25598	25447	151	24	0	24846	25447
85	P	77	643	1232	71952	30251	30251	26222	26037	185	26	0	25395	26037
86	P	91	728	1392	83854	31321	31321	27333	26255	1078	31	0	25528	26255
87	P	79	662	1268	80302	30646	30646	26346	25305	1041	26	0	24644	25305
88	P	55	479	919	58358	23444	23444	20507	19330	1177	18	0	18852	19330
89	P	67	569	1091	69255	31126	31126	26349	25575	774	23	0	25007	25575
90	P	68	578	1108	66851	28960	28960	25679	25436	243	23	0	24859	25436
91	P	70	615	1181	70113	27869	27869	26739	25719	1020	24	0	25105	25719
92	P	83	692	1326	76685	27035	27035	27035	25572	1463	28	0	24881	25572
93	P	76	655	1257	70118	29464	29464	27462	26156	1306	26	0	25502	26156
94	P	71	623	1196	65843	28772	28772	25580	25535	45	24	0	24913	25535
95	P	69	590	1131	61945	30018	30018	24550	24478	72	23	0	23889	24478
96	P	69	577	1105	60724	30886	30886	24549	24524	25	23	0	23948	24524
97	P	59	510	978	57702	31058	31058	24569	24481	88	19	0	23972	24481
98	P	64	546	1047	55963	30958	30958	25250	25089	161	22	0	24544	25089
99	P	79	666	1276	63813	28212	28212	27046	26193	853	26	0	25528	26193
100	P	78	654	1253	59874	30386	30386	26896	26153	743	26	0	25500	26153
101	P	73	598	1145	54254	31901	31901	25881	24660	1221	25	0	24063	24660
102	P	68	552	1056	52438	34312	34312	25949	24525	1424	23	0	23974	24525
103	P	57	493	946	53297	34313	34313	24860	24320	540	19	0	23828	24320
104	P	55	456	873	53809	34056	34056	23703	23670	33	18	0	23215	23670
105	P	54	471	904	57731	34130	34130	23869	23866	3	18	0	23396	23866
106	P	63	537	1030	66219	27844	27844	24324	24037	287	22	0	23501	24037
107	P	67	569	1091	69778	28048	28048	24940	24623	317	23	0	24055	24623
108	P	73	637	1223	73736	26930	26930	25393	25051	342	25	0	24415	25051
109	P	86	714	1368	79195	26482	26482	26482	25767	715	30	0	25054	25767
110	P	84	682	1305	73104	26115	26115	26115	25825	290	29	0	25144	25825
111	P	83	675	1292	73562	28373	28373	25948	25868	80	28	0	25194	25868
112	P	84	699	1339	73926	29845	29845	26555	25485	1070	29	0	24787	25485
113	P	70	576	1103	62052	31080	31080	24802	23823	979	24	0	23248	23823
114	P	64	521	997	57112	32214	32214	25128	24911	217	22	0	24391	24911
115	P	59	495	948	60812	33517	33517	25500	25394	106	19	0	24900	25394
116	P	57	495	950	57303	31656	31656	23950	23872	78	19	0	23378	23872
117	P	56	507	975	57457	30359	30359	23805	23390	415	19	0	22884	23390
118	P	65	559	1072	60519	30555	30555	24907	24244	663	22	0	23686	24244
119	P	72	609	1167	65438	27913	27913	25342	25303	39	24	0	24695	25303
120	P	76	638	1223	67115	26228	26228	26228	25914	314	26	0	25277	25914
121	P	73	598	1145	65969	26163	26163	26163	25407	756	25	0	24810	25407
122	P	72	583	1115	63265	27206	27206	27206	26294	912	24	0	25712	26294
123	P	72	591	1131	65288	27492	27492	27492	26368	1124	24	0	25778	26368
124	P	80	669	1282	72025	28354	28354	28354	27328	1026	27	0	26660	27328
125	P	81	677	1297	70709	30477	30477	26632	26452	180	27	0	25776	26452
126	P	77	665	1276	68144	31579	31579	25916	25754	162	26	0	25090	25754
127	P	74	623	1194	66419	33258	33258	26219	25985	234	25	0	25363	25985
128	P	60	509	976	59330	33502	33502	25254	25183	71	20	0	24675	25183
129	P	54	471	904	58606	34038	34038	25627	25465	162	18	0	24995	25465
130	P	57	493	946	56929	34008	34008	26170	26128	42	19	0	25636	26128
131	P	61	525	1007	59466	30519	30519	25715	25598	117	20	0	25074	25598
132	P	62	532	1020	59062	31565	31565	25978	25874	104	20	0	25343	25874
133	P	69	607	1165	66420	30505	30505	26696	26558	138	23	0	25952	26558
134	P	82	703	1348	73738	31218	31218	27723	27648	75	27	0	26946	27648
135	P	84	699	1339	77726	30973	30973	27034	26892	142	29	0	26194	26892
136	P	81	670	1283	78067	31767	31767	27484	26214	1270	27	0	25545	26214
137	P	81	652	1247	71336	31336	31336	26100	25786	314	27	0	25135	25786
138	P	77	643	1232	69724	30455	30455	26936	26826	110	26	0	26184	26826
139	P	84	674	1289	71589	30015	30015	26751	26637	114	29	0	25964	26637
140	P	71	600	1150	66594	29393	29393	26006	25896	110	24	0	25297	25896
141	P	64	529	1013	58387	31592	31592	26495	25888	607	22	0	25360	25888
142	P	66	544	1042	57963	29487	29487	26835	26039	796	23	0	25496	26039
143	P	71	604	1158	61930	27881	27881	27161	26217	944	24	0	25614	26217
144	P	72	608	1165	64890	29562	29562	27636	27062	574	24	0	26455	27062
145	P	76	614	1175	68991	28749	28749	26242	26150	92	26	0	25537	26150
146	P	79	659	1262	70801	30942	30942	26303	26232	71	26	0	25574	26232
147	P	85	704	1348	77414	30835	30835	25873	24906	967	29	0	24203	24906
148	P	75	631	1209	69614	31714	31714	24606	23981	625	25	0	23351	23981
149	P	75	614	1175	65995	33569	33569	24482	24338	144	25	0	23725	24338
150	P	77	652	1250	68785	32290	32290	25439	25230	209	26	0	24579	25230
151	P	72	591	1131	66569	32324	32324	25750	25627	123	24	0	25037	25627
152	P	66	536	1026	63383	33059	33059	25090	25087	3	23	0	24552	25087
153	P	55	462	885	52255	33474	33474	23623	23595	28	18	0	23134	23595
154	P	62	515	986	53693	32043	32043	24719	24373	346	20	0	23859	24373
155	P	64	546	1047	53453	32652	32652	24496	23688	808	22	0	23143	23688
156	P	69	602	1155	55479	34420	34420	25248	24224	1024	23	0	23623	24224
157	P	79	679	1302	58731	36018	36018	25790	24394	1396	26	0	23716	24394
158	P	93	772	1479	67468	36316	36316	27103	24867	2236	32	0	24096	24867
159	P	89	713	1363	72860	36547	36547	27896	26688	1208	30	0	25976	26688
160	P	72	583	1115	66093	34005	34005	25916	25689	227	24	0	25107	25689
161	P	73	590	1129	69633	30666	30666	25521	25469	52	25	0	24880	25469
162	P	72	604	1157	69316	27417	27417	25929	25576	353	24	0	24973	25576
163	P	68	582	1116	71592	27015	27015	26272	25840	432	23	0	25259	25840
164	P	69	568	1087	69185	28670	28670	25841	25397	444	23	0	24830	25397
165	P	62	532	1020	65794	29701	29701	26241	25329	912	20	0	24798	25329
166	P	60	537	1032	64999	29223	29223	26578	26179	399	20	0	25643	26179
167	P	64	548	1051	63243	28963	28963	25752	25570	182	22	0	25023	25570
168	P	67	571	1095	64050	29516	29516	25217	25176	41	23	0	24606	25176
169	P	70	594	1139	61954	29229	29229	25558	25517	41	24	0	24924	25517
170	P	88	738	1414	73473	27678	27678	26124	25926	198	30	0	25189	25926
171	P	101	832	1593	85489	27939	27939	27939	27749	190	34	0	26918	27749
172	P	96	768	1469	80460	27513	27513	27513	26961	552	33	0	26194	26961
173	P	91	738	1412	76159	27318	27318	27318	26905	413	31	0	26168	26905
174	P	81	664	1271	72789	30186	30186	28032	27862	170	27	0	27199	27862
175	P	68	553	1058	65031	28757	28757	26484	26341	143	23	0	25789	26341
176	P	67	553	1059	67206	28746	28746	26093	25936	157	23	0	25384	25936
177	P	64	548	1051	66604	30317	30317	25704	25613	91	22	0	25066	25613
178	P	64	547	1049	66665	30681	30681	24673	24631	42	22	0	24085	24631
179	P	66	545	1044	60963	31153	31153	24380	24290	90	23	0	23746	24290
180	P	67	574	1101	63876	30867	30867	24522	24167	355	23	0	23594	24167
181	P	71	600	1150	65059	31918	31918	25027	24636	391	24	0	24037	24636
182	P	82	670	1282	69587	29825	29825	26253	25518	735	27	0	24849	25518
183	P	83	697	1336	67146	28153	28153	26171	25298	873	28	0	24602	25298
184	P	99	798	1526	80913	29648	29648	29648	28328	1320	33	0	27531	28328
185	P	82	664	1270	71156	26827	26827	26827	25119	1708	27	0	24456	25119
186	P	64	531	1017	57654	25449	25449	22488	20747	1741	22	0	20217	20747
187	P	65	558	1070	56472	27589	27589	22576	21479	1097	22	0	20922	21479
188	P	72	627	1203	61253	31051	31051	25829	25725	104	24	0	25099	25725
189	P	32	296	569	32771	16504	16504	13227	12953	274	10	0	12658	12953
190	P	53	462	887	58139	33187	33187	24886	23960	926	18	0	23499	23960
191	P	54	473	908	59471	33951	33951	25881	24817	1064	18	0	24345	24817
192	P	59	512	982	64657	31597	31597	26306	24973	1333	19	0	24462	24973
193	P	72	591	1131	69804	31488	31488	27436	25444	1992	24	0	24854	25444
194	P	72	609	1167	70606	31328	31328	26801	26127	674	24	0	25519	26127
195	P	73	634	1217	73327	31331	31331	27595	27587	8	25	0	26954	27587
196	P	76	664	1275	76189	28117	28117	26844	26783	61	26	0	26120	26783
197	P	91	755	1446	78732	27926	27926	27926	27921	5	31	0	27167	27921
198	P	86	699	1338	74338	27101	27101	27101	26187	914	30	0	25489	26187
199	P	79	638	1220	65856	29771	29771	27623	27319	304	26	0	26682	27319
