move	kind	widening	parents	enum_calls	raw	unique	rule_apps	policy_trans	materialized	merges	refused	exhausted	pending	trans_used
114	P	74	598	1144	58952	31039	31039	24683	23365	1318	25	0	22768	23365
115	P	77	639	1224	62679	31135	31135	25267	24027	1240	26	0	23389	24027
116	P	69	607	1165	63066	29731	29731	25321	24078	1243	23	0	23472	24078
117	P	68	577	1106	61325	31034	31034	25735	24910	825	23	0	24334	24910
118	P	63	529	1014	59551	31765	31765	25385	25269	116	22	0	24741	25269
119	P	56	485	931	58574	31927	31927	24570	24109	461	19	0	23625	24109
120	P	56	485	931	59082	33738	33738	24336	23398	938	19	0	22914	23398
121	P	52	458	879	57113	33218	33218	24744	23707	1037	17	0	23250	23707
122	P	52	477	917	59447	32210	32210	24775	23605	1170	17	0	23129	23605
123	P	59	532	1022	65421	32476	32476	25867	24305	1562	19	0	23774	24305
124	P	67	569	1091	66215	33185	33185	26581	25854	727	23	0	25286	25854
125	P	76	621	1189	70892	32977	32977	27794	27774	20	26	0	27154	27774
126	P	76	639	1225	71913	28870	28870	25963	25908	55	26	0	25270	25908
127	P	92	762	1459	83273	27586	27586	27586	26400	1186	31	0	25639	26400
128	P	101	814	1557	83360	26408	26408	26408	26015	393	34	0	25202	26015
129	P	106	868	1661	88347	27544	27544	27544	27183	361	36	0	26316	27183
130	P	94	768	1470	80931	29109	29109	26483	26358	125	32	0	25591	26358
131	P	88	705	1348	73583	28635	28635	25636	25464	172	30	0	24760	25464
132	P	79	637	1218	65455	28971	28971	25570	25544	26	26	0	24908	25544
133	P	70	576	1103	60270	29438	29438	25879	25127	752	24	0	24552	25127
134	P	62	516	988	55128	30189	30189	26146	25064	1082	20	0	24549	25064
135	P	54	446	854	53341	31644	31644	25557	23894	1663	18	0	23449	23894
136	P	54	476	914	58611	30534	30534	25764	24165	1599	18	0	23690	24165
137	P	60	517	992	63095	30864	30864	25789	24328	1461	20	0	23812	24328
138	P	59	527	1012	61303	31347	31347	25356	24115	1241	19	0	23589	24115
139	P	67	586	1125	66926	32999	32999	25841	25819	22	23	0	25234	25819
140	P	72	608	1165	69014	30169	30169	24700	23697	1003	24	0	23090	23697
141	P	77	653	1252	73736	25539	25539	24707	23444	1263	26	0	22792	23444
142	P	61	508	973	54787	23428	23428	20641	20458	183	20	0	19951	20458
143	P	63	523	1002	57840	26487	26487	22593	22208	385	22	0	21686	22208
144	P	68	552	1056	64448	29519	29519	24005	23941	64	23	0	23390	23941
145	P	61	524	1005	64315	29288	29288	23982	23979	3	20	0	23456	23979
146	P	61	526	1009	62403	28763	28763	23805	23689	116	20	0	23164	23689
147	P	59	530	1018	58068	29933	29933	24119	23695	424	19	0	23166	23695
148	P	62	553	1062	58358	29548	29548	23880	23519	361	20	0	22967	23519
149	P	73	619	1187	60439	28614	28614	24563	23995	568	25	0	23377	23995
150	P	97	804	1540	71573	27825	27825	26453	25266	1187	33	0	24463	25266
151	P	97	800	1532	73713	30566	30566	26467	25340	1127	33	0	24541	25340
152	P	85	682	1304	74605	30722	30722	25830	25007	823	29	0	24326	25007
153	P	74	598	1144	70154	30397	30397	25461	24975	486	25	0	24378	24975
154	P	62	508	972	60020	32678	32678	24777	24624	153	20	0	24117	24624
155	P	56	460	881	54353	34214	34214	24524	24360	164	19	0	23901	24360
156	P	54	447	856	53707	33566	33566	24432	24172	260	18	0	23726	24172
157	P	52	460	883	56474	31159	31159	24044	23738	306	17	0	23279	23738
158	P	59	510	978	58956	32769	32769	24456	24354	102	19	0	23845	24354
159	P	65	555	1064	63361	32349	32349	24282	24246	36	22	0	23692	24246
160	P	70	593	1137	66543	31322	31322	25437	24837	600	24	0	24245	24837
161	P	73	616	1181	67898	27283	27283	24727	24693	34	25	0	24078	24693
162	P	85	690	1320	73641	25711	25711	25711	25516	195	29	0	24827	25516
163	P	78	654	1253	68700	27082	27082	27082	26078	1004	26	0	25425	26078
164	P	76	630	1207	67863	27663	27663	27663	26348	1315	26	0	25719	26348
165	P	71	600	1150	68147	27553	27553	27553	25798	1755	24	0	25199	25798
166	P	64	564	1083	63833	28649	28649	26989	25427	1562	22	0	24864	25427
167	P	73	615	1179	67391	29487	29487	27101	26380	721	25	0	25766	26380
168	P	70	593	1137	62825	31354	31354	25352	25264	88	24	0	24672	25264
169	P	66	579	1112	62917	32402	32402	25112	25081	31	23	0	24503	25081
170	P	64	538	1031	63837	33173	33173	24583	24581	2	22	0	24044	24581
171	P	60	492	942	56932	31674	31674	23586	23573	13	20	0	23082	23573
172	P	57	501	962	59280	31461	31461	24473	23953	520	19	0	23453	23953
173	P	64	532	1019	61084	30026	30026	24658	24620	38	22	0	24089	24620
174	P	70	594	1139	65052	28413	28413	25831	25559	272	24	0	24966	25559
175	P	90	728	1393	76062	27245	27245	27245	25213	2032	31	0	24486	25213
176	P	87	723	1385	76011	26727	26727	26727	24039	2688	30	0	23317	24039
177	P	85	725	1390	76251	27290	27290	27290	25076	2214	29	0	24352	25076
178	P	85	700	1340	79626	26891	26891	26891	24495	2396	29	0	23796	24495
179	P	88	706	1350	75314	27172	27172	27172	25381	1791	30	0	24676	25381
180	P	75	606	1159	63111	27854	27854	25946	25678	268	25	0	25073	25678
181	P	75	606	1159	61402	27300	27300	24892	24813	79	25	0	24208	24813
182	P	69	578	1107	53425	28361	28361	25291	25029	262	23	0	24452	25029
183	P	61	526	1009	50946	31052	31052	24970	24740	230	20	0	24215	24740
184	P	31	305	588	29241	19638	19638	15038	14882	156	10	0	14578	14882
185	P	54	468	898	49535	33649	33649	23751	23256	495	18	0	22789	23256
186	P	48	446	858	51139	32975	32975	23924	22898	1026	16	0	22453	22898
187	P	56	485	931	54207	33976	33976	24155	23455	700	19	0	22971	23455
188	P	59	510	978	55741	33097	33097	23528	23522	6	19	0	23013	23522
189	P	70	593	1137	65221	27634	27634	24410	23498	912	24	0	22906	23498
190	P	78	650	1245	67896	27151	27151	25889	24717	1172	26	0	24068	24717
191	P	82	661	1264	68714	26435	26435	26435	24970	1465	27	0	24310	24970
192	P	78	637	1219	68454	26975	26975	26975	24639	2336	26	0	24003	24639
193	P	77	630	1206	65574	30482	30482	27095	24999	2096	26	0	24370	24999
194	P	82	686	1314	70723	31826	31826	26872	26163	709	27	0	25478	26163
195	P	82	686	1314	76510	29234	29234	25860	25793	67	27	0	25108	25793
196	P	72	584	1117	67280	30226	30226	24574	24376	198	24	0	23793	24376
197	P	63	513	982	56760	30178	30178	24310	23400	910	22	0	22888	23400
198	P	64	521	997	58705	30939	30939	25646	24248	1398	22	0	23728	24248
199	P	64	542	1039	59261	30487	30487	26307	24592	1715	22	0	24051	24592
