move	kind	widening	parents	enum_calls	raw	unique	rule_apps	policy_trans	materialized	merges	refused	exhausted	pending	trans_used
0	P	55	412	781	44606	29747	29747	20629	20619	10	12	0	20208	20619
1	P	49	452	869	49658	28358	28358	21446	21436	10	16	0	20985	21436
2	P	67	570	1093	56247	28125	28125	22640	22616	24	23	0	22047	22616
3	P	69	604	1159	60769	26065	26065	23441	23415	26	23	0	22812	23415
4	P	79	654	1252	69040	24583	24583	24583	24499	84	26	0	23846	24499
5	P	69	560	1071	53347	26792	26792	23572	23389	183	23	0	22830	23389
6	P	69	560	1071	49982	29217	29217	23705	23248	457	23	0	22689	23248
7	P	56	486	932	51093	28088	28088	22898	22863	35	18	0	22378	22863
8	P	59	502	962	52569	26592	26592	22149	22117	32	19	0	21616	22117
9	P	56	478	917	52029	28456	28456	21392	21383	9	19	0	20906	21383
10	P	60	492	942	52040	26975	26975	21182	21116	66	20	0	20625	21116
11	P	65	554	1062	55794	26155	26155	22271	22163	108	22	0	21610	22163
12	P	67	545	1043	56825	26052	26052	22082	21924	158	23	0	21380	21924
13	P	61	526	1009	59326	26107	26107	22018	21806	212	20	0	21281	21806
14	P	59	504	966	57112	26434	26434	21961	21939	22	19	0	21436	21939
15	P	65	554	1062	62600	25355	25355	22324	22269	55	22	0	21716	22269
16	P	73	590	1129	68641	27134	27134	24223	22959	1264	25	0	22370	22959
17	P	75	615	1177	75002	29190	29190	25702	24069	1633	25	0	23455	24069
18	P	82	686	1314	79253	31747	31747	27375	25427	1948	27	0	24742	25427
19	P	80	669	1282	75986	29893	29893	27359	25422	1937	27	0	24754	25422
20	P	75	652	1251	73329	28161	28161	26836	26640	196	25	0	25989	26640
21	P	85	707	1354	77476	28827	28827	28827	28692	135	29	0	27986	28692
22	P	81	677	1297	72546	28329	28329	28329	27498	831	27	0	26822	27498
23	P	75	631	1209	66855	27375	27375	27375	26786	589	25	0	26156	26786
24	P	68	569	1090	58611	30128	30128	28271	26612	1659	23	0	26044	26612
25	P	65	572	1098	61954	30397	30397	28101	26782	1319	22	0	26211	26782
26	P	69	587	1125	61465	30779	30779	27526	26759	767	23	0	26173	26759
