# kind board t x y r search_type combo b2b under_attack clear value t2_value t3_value death out_combo out_b2b out_under_attack out_map_rise out_acc_value out_like out_value
eval 0 L 0 17 0 0 4 0 0 0 -5450.129462986 0 0 0 0 0 0 0 0 0 0
get 0 L 0 17 0 0 4 0 0 0 -5450.129462986 0 0 0 0 0 0 0 0.000000 -39555.250324 768092962.796140
eval 0 L 1 16 0 0 0 1 0 0 -5110.380829892 0 0 0 0 0 0 0 0 0 0
get 0 L 1 16 0 0 0 1 0 0 -5110.380829892 0 0 0 0 1 0 0 0.000000 -39555.250324 720209334.560572
eval 0 L 2 18 0 0 1 1 0 0 -5704.442456610 7 0 0 0 0 0 0 0 0 0
get 0 L 2 18 0 0 1 1 0 0 -5704.442456610 7 0 0 0 1 0 0 0.000000 76936.271725 804051920.353356
eval 0 L 3 18 0 0 2 1 0 0 -5700.060849314 0 0 0 0 0 0 0 0 0 0
get 0 L 3 18 0 0 2 1 0 0 -5700.060849314 0 0 0 0 1 0 0 0.000000 -13185.083441 803344262.283104
eval 0 L 4 18 0 0 3 1 0 0 -5602.838168136 0 0 0 0 0 0 0 0 0 0
get 0 L 4 18 0 0 3 1 0 0 -5602.838168136 0 0 0 0 1 0 0 0.000000 -13185.083441 789641853.301507
eval 0 L 5 18 0 0 4 1 0 0 -5617.917889588 0 0 0 0 0 0 0 0 0 0
get 0 L 5 18 0 0 4 1 0 0 -5617.917889588 0 0 0 0 1 0 0 0.000000 -26370.166883 791753980.009102
eval 0 J 0 17 0 0 0 0 0 0 -5226.254351911 0 0 0 0 0 0 0 0 0 0
get 0 J 0 17 0 0 0 0 0 0 -5226.254351911 0 0 0 0 0 0 0 0.000000 -39555.250324 736540363.180689
eval 0 J 1 16 0 0 1 0 0 0 -5136.477029342 0 0 0 0 0 0 0 0 0 0
get 0 J 1 16 0 0 1 0 0 0 -5136.477029342 0 0 0 0 0 0 0 0.000000 -39555.250324 723887291.117587
eval 0 J 2 18 0 0 2 0 0 0 -5879.512689536 7 0 0 0 0 0 0 0 0 0
get 0 J 2 18 0 0 2 0 0 0 -5879.512689536 7 0 0 0 0 0 0 0.000000 63751.188283 828712853.520814
eval 0 J 3 18 0 0 3 0 0 0 -5658.178256264 0 0 0 0 0 0 0 0 0 0
get 0 J 3 18 0 0 3 0 0 0 -5658.178256264 0 0 0 0 0 0 0 0.000000 -13185.083441 797441396.694258
eval 0 J 4 18 0 0 4 0 0 0 -5602.838168136 0 0 0 0 0 0 0 0 0 0
get 0 J 4 18 0 0 4 0 0 0 -5602.838168136 0 0 0 0 0 0 0 0.000000 -13185.083441 789641853.301507
eval 0 J 5 18 0 0 0 1 0 0 -5694.143214962 0 0 0 0 0 0 0 0 0 0
get 0 J 5 18 0 0 0 1 0 0 -5694.143214962 0 0 0 0 1 0 0 0.000000 -13185.083441 802510240.374716
eval 0 T 3 18 0 0 1 1 0 0 -5616.295663214 0 0 0 0 0 0 0 0 0 0
get 0 T 3 18 0 0 1 1 0 0 -5616.295663214 0 0 0 0 1 0 0 -582202555697.090820 -13185.083441 -581411017165.985474
eval 0 T 3 19 2 0 2 1 0 0 -5673.504493661 5 0 0 0 0 0 0 0 0 0
get 0 T 3 19 2 0 2 1 0 0 -5673.504493661 5 0 0 0 1 0 0 -582202555697.090820 51187.313106 -581402889872.646484
eval 0 T 3 19 3 0 3 1 0 0 -5724.265261339 5 0 0 0 0 0 0 0 0 0
get 0 T 3 19 3 0 3 1 0 0 -5724.265261339 5 0 0 0 1 0 0 -582202555697.090820 64372.396547 -581395722546.260620
eval 0 T 3 19 1 0 4 1 0 0 -5769.060080136 5 0 0 0 0 0 0 0 0 0
get 0 T 3 19 1 0 4 1 0 0 -5769.060080136 5 0 0 0 1 0 0 -582202555697.090820 64372.396547 -581389409236.239014
