# board t x y r type flags is_check is_last_rotate is_ready is_mini_ready
0 T 5 18 1 0 257 1 1 0 0
0 T 6 19 3 0 257 1 1 0 0
0 T 6 19 2 0 257 1 1 0 0
0 T 6 19 1 0 257 1 1 0 0
0 T 1 16 0 0 257 1 1 0 0
0 T 0 17 0 0 257 1 1 0 0
0 T 2 16 3 0 257 1 1 0 0
0 T 7 18 0 0 257 1 1 0 0
0 T 7 19 3 0 257 1 1 0 0
0 T 0 17 1 0 257 1 1 0 0
0 T -1 18 1 0 1 1 0 0 0
0 T 7 19 2 0 257 1 1 0 0
0 T 7 19 1 0 257 1 1 0 0
0 T 1 16 2 0 257 1 1 0 0
0 T 1 16 3 0 257 1 1 0 0
0 T 0 17 2 0 257 1 1 0 0
0 T 0 17 3 0 257 1 1 0 0
0 T 2 16 1 0 257 1 1 0 0
0 T 2 16 2 0 257 1 1 0 0
0 T 8 18 3 0 65793 1 1 1 0
0 T 1 15 1 0 257 1 1 0 0
0 T 2 15 0 0 257 1 1 0 0
0 T 3 16 2 0 1 1 0 0 0
1 I 0 8 0 0 0 0 0 0 0
1 I 1 8 0 0 0 0 0 0 0
1 I 2 9 0 0 0 0 0 0 0
1 I 3 9 0 0 0 0 0 0 0
1 I 4 9 0 0 0 0 0 0 0
1 I 5 9 0 0 0 0 0 0 0
1 I 6 9 0 0 0 0 0 0 0
1 I -1 10 3 0 0 0 0 0 0
1 I 0 9 3 0 0 0 0 0 0
1 I 1 8 3 0 0 0 0 0 0
1 I 2 10 3 0 0 0 0 0 0
1 I 3 10 3 0 0 0 0 0 0
1 I 4 11 3 0 0 0 0 0 0
1 I 5 11 3 0 0 0 0 0 0
1 I 6 8 3 0 0 0 0 0 0
1 I 7 9 3 0 0 0 0 0 0
1 I 8 10 3 0 0 0 0 0 0
1 O -1 8 0 0 0 0 0 0 0
1 O 0 7 0 0 0 0 0 0 0
1 O 1 8 0 0 0 0 0 0 0
1 O 2 8 0 0 0 0 0 0 0
1 O 3 9 0 0 0 0 0 0 0
1 O 4 9 0 0 0 0 0 0 0
1 O 5 9 0 0 0 0 0 0 0
1 O 6 7 0 0 0 0 0 0 0
1 O 7 8 0 0 0 0 0 0 0
1 S 0 8 0 0 0 0 0 0 0
1 S 1 7 0 0 0 0 0 0 0
1 S 2 8 0 0 0 0 0 0 0
1 S 3 8 0 0 0 0 0 0 0
1 S 4 9 0 0 0 0 0 0 0
1 S 5 9 0 0 0 0 0 0 0
1 S 6 9 0 0 0 0 0 0 0
1 S 7 7 0 0 0 0 0 0 0
1 S 0 8 3 0 0 0 0 0 0
1 S 1 7 3 0 0 0 0 0 0
1 S 2 9 3 0 0 0 0 0 0
1 S 3 9 3 0 0 0 0 0 0
1 S 4 10 3 0 0 0 0 0 0
1 S 5 10 3 0 0 0 0 0 0
1 S 6 9 3 0 0 0 0 0 0
1 S 7 8 3 0 0 0 0 0 0
