pair,seed,scenario_seed_p1,scenario_seed_p2,engine1,engine2,winner,dead1,dead2,capped,winner_reason,rounds,attack1,attack2,pieces1,pieces2,lines1,lines2,tspin_mini1,tspin_mini2,tspin_single1,tspin_single2,tspin_double1,tspin_double2,tspin_triple1,tspin_triple2,perfect_clear1,perfect_clear2,replay_failures
0,1,13757245211066428519,13819372491320860226,legacy,legacy,1,0,1,0,1,92,119,85,92,91,66,67,1,1,5,7,7,2,0,0,0,0,0
1,1,12918135221727111561,16462000697783136304,legacy,legacy,-1,0,0,1,4,120,119,136,120,120,87,84,0,3,7,4,5,9,0,0,0,1,0
2,1,13877614986023876344,8233034982601383833,legacy,legacy,1,0,0,1,3,120,119,110,120,120,74,83,1,0,7,11,6,3,0,0,0,0,0
3,1,309689372594955804,11288449918072354817,legacy,legacy,-1,0,0,1,4,120,115,120,120,120,81,74,1,2,11,7,4,8,0,0,0,0,0
4,1,13847876567842155106,13546682927695711814,legacy,legacy,-1,1,0,0,2,58,58,70,57,58,37,43,1,1,3,2,3,3,0,0,0,0,0
5,1,4839782808629744545,17330038448952222807,legacy,legacy,1,0,0,1,3,120,125,117,120,120,72,76,2,0,9,7,6,8,0,0,0,0,0
6,1,6063221543909367921,1315361123233219194,legacy,legacy,-1,0,0,1,4,120,108,106,120,120,75,64,0,1,8,10,6,5,0,0,0,0,0
7,1,14391278412279324496,1466504191324546123,legacy,legacy,-1,0,0,1,4,120,116,114,120,120,77,70,2,1,8,7,5,8,0,0,0,0,0
