pair,seed,scenario_seed_p1,scenario_seed_p2,engine1,engine2,winner,dead1,dead2,capped,winner_reason,rounds,attack1,attack2,pieces1,pieces2,lines1,lines2,tspin_mini1,tspin_mini2,tspin_single1,tspin_single2,tspin_double1,tspin_double2,tspin_triple1,tspin_triple2,perfect_clear1,perfect_clear2,replay_failures
18,999,6856427688240647276,7789054207192559430,legacy,value,1,0,1,0,1,225,227,226,225,224,157,142,3,2,15,11,12,16,0,0,0,0,0
18,999,6856427688240647276,7789054207192559430,value,legacy,1,0,1,0,1,125,139,118,125,124,87,79,3,1,8,6,6,8,0,0,0,1,0
19,999,9639010951523475065,14253548391451705667,legacy,value,1,0,1,0,1,71,82,68,71,70,47,45,0,2,3,4,6,2,0,0,0,1,0
19,999,9639010951523475065,14253548391451705667,value,legacy,-1,1,0,0,2,60,51,59,59,60,31,45,0,0,3,7,5,0,0,0,1,0,0
20,999,17928609768252807853,7143090058434610914,legacy,value,-1,1,0,0,2,33,10,24,32,33,5,14,0,0,2,3,1,2,0,0,0,0,0
20,999,17928609768252807853,7143090058434610914,value,legacy,-1,1,0,0,2,174,180,198,173,174,129,131,1,2,10,11,6,8,0,0,2,0,0
21,999,10551269823739624846,17598895434823746206,legacy,value,1,0,1,0,1,101,114,113,101,100,77,61,0,0,7,7,4,6,0,0,0,0,0
21,999,10551269823739624846,17598895434823746206,value,legacy,1,0,1,0,1,39,44,26,39,38,23,19,0,0,4,2,1,2,0,0,0,0,0
22,999,9113667076076296889,10741424586748185279,legacy,value,1,0,1,0,1,400,436,434,400,399,297,280,3,2,25,25,18,18,0,0,0,1,0
22,999,9113667076076296889,10741424586748185279,value,legacy,-1,1,0,0,2,165,150,164,164,165,105,107,1,4,14,9,7,8,0,0,0,0,0
23,999,14775218347227005274,4192967329057750215,legacy,value,1,0,1,0,1,436,443,464,436,435,336,296,4,6,28,29,17,22,0,0,0,0,0
23,999,14775218347227005274,4192967329057750215,value,legacy,-1,1,0,0,2,789,880,856,788,789,556,611,6,7,47,49,47,33,0,0,0,1,0
24,999,4385837940642129806,7726636720670287874,legacy,value,1,0,1,0,1,139,153,147,139,138,99,90,2,1,10,11,6,5,0,0,0,0,0
24,999,4385837940642129806,7726636720670287874,value,legacy,-1,1,0,0,2,65,70,74,64,65,39,52,0,0,3,3,5,3,0,0,0,0,0
25,999,1307702943141539792,11725946800351255125,legacy,value,-1,1,0,0,2,264,263,281,263,264,186,189,1,4,14,19,16,12,0,0,1,0,0
25,999,1307702943141539792,11725946800351255125,value,legacy,1,0,1,0,1,594,653,589,594,593,404,446,7,7,31,30,38,32,0,1,1,0,0
26,999,11527263416601504682,272245110242119178,legacy,value,1,0,1,0,1,1200,1240,1270,1200,1199,880,832,16,10,72,77,56,69,0,0,0,2,0
26,999,11527263416601504682,272245110242119178,value,legacy,1,0,1,0,1,41,49,30,41,40,31,23,1,0,4,3,1,2,0,0,0,0,0
27,999,5382279693828982008,14893522238724083247,legacy,value,1,0,1,0,1,116,113,107,116,115,82,71,0,0,6,7,6,8,0,0,0,0,0
27,999,5382279693828982008,14893522238724083247,value,legacy,1,0,1,0,1,73,89,65,73,72,48,55,2,0,2,5,3,4,0,0,0,0,0
28,999,5478529957038183571,14866643345411673092,legacy,value,-1,1,0,0,2,1413,1436,1534,1412,1413,1073,1004,22,16,78,81,72,82,0,0,1,2,0
28,999,5478529957038183571,14866643345411673092,value,legacy,-1,1,0,0,2,68,64,71,67,68,35,45,1,1,3,6,6,2,0,0,0,0,0
29,999,2417155397844954483,2228339327398425440,legacy,value,1,0,1,0,1,50,51,43,50,49,32,27,0,0,1,2,4,5,0,0,0,0,0
29,999,2417155397844954483,2228339327398425440,value,legacy,-1,1,0,0,2,37,29,49,36,37,18,22,0,0,3,1,2,3,0,0,0,0,0
30,999,6933003069861945486,4667426340264607662,legacy,value,-1,1,0,0,2,206,215,227,205,206,145,153,1,2,14,13,11,11,0,0,1,0,0
30,999,6933003069861945486,4667426340264607662,value,legacy,-1,1,0,0,2,55,49,57,54,55,27,37,0,0,4,4,2,2,0,0,0,0,0
31,999,17827684565091540029,14432251160311478902,legacy,value,-1,1,0,0,2,301,326,363,300,301,234,222,3,3,15,15,17,17,0,0,0,0,0
31,999,17827684565091540029,14432251160311478902,value,legacy,1,0,1,0,1,130,146,120,130,129,90,86,0,0,6,5,11,8,0,0,0,0,0
32,999,15654461901874200069,4901802278798450111,legacy,value,1,0,1,0,1,218,241,238,218,217,168,154,3,3,15,14,6,11,0,0,0,0,0
32,999,15654461901874200069,4901802278798450111,value,legacy,1,0,1,0,1,167,171,152,167,166,112,108,2,4,10,9,9,6,0,0,0,0,0
33,999,5787464166956632254,5618754685576867999,legacy,value,-1,1,0,0,2,241,259,283,240,241,186,176,2,0,20,9,7,22,0,0,0,1,0
33,999,5787464166956632254,5618754685576867999,value,legacy,1,0,1,0,1,63,68,54,63,62,38,36,0,1,4,4,5,3,0,0,0,0,0
34,999,17925101437098832358,6911160071848799286,legacy,value,1,0,1,0,1,72,70,58,72,71,43,37,2,0,2,5,6,5,0,0,0,0,0
34,999,17925101437098832358,6911160071848799286,value,legacy,-1,1,0,0,2,69,56,67,68,69,42,49,0,0,4,5,3,4,0,0,0,0,0
35,999,875521368056923573,12773470259244546463,legacy,value,1,0,1,0,1,143,142,148,143,142,104,88,1,1,10,9,4,8,0,0,1,0,0
35,999,875521368056923573,12773470259244546463,value,legacy,-1,1,0,0,2,369,399,400,368,369,251,265,1,4,23,20,21,22,0,0,1,0,0
36,999,13958921874363894009,16319977348469342993,legacy,value,1,0,1,0,1,60,57,47,60,59,37,31,2,0,2,6,4,2,0,0,0,0,0
36,999,13958921874363894009,16319977348469342993,value,legacy,-1,1,0,0,2,266,276,280,265,266,180,201,0,1,14,15,15,15,0,0,0,0,0
37,999,12174598303167012848,1633537943222675901,legacy,value,1,0,1,0,1,32,34,21,32,31,20,12,0,0,1,3,3,2,0,0,0,0,0
37,999,12174598303167012848,1633537943222675901,value,legacy,-1,1,0,0,2,143,127,143,142,143,88,93,1,3,14,7,4,8,0,0,0,0,0
38,999,6090289624698895945,18133810478955322544,legacy,value,-1,1,0,0,2,256,255,294,255,256,203,186,4,2,16,14,6,13,0,0,0,0,0
38,999,6090289624698895945,18133810478955322544,value,legacy,1,0,1,0,1,57,59,47,57,56,34,30,0,1,1,3,5,3,0,0,0,0,0
39,999,13998703514414813701,11255971549830207663,legacy,value,1,0,1,0,1,570,567,588,570,569,423,386,7,3,39,32,23,40,0,0,0,0,0
39,999,13998703514414813701,11255971549830207663,value,legacy,-1,1,0,0,2,206,207,198,205,206,125,151,3,3,13,10,12,10,0,0,0,0,0
40,999,8094870050977809405,327812774925977185,legacy,value,1,0,1,0,1,41,41,33,41,40,24,21,0,0,3,3,1,1,0,0,0,0,0
40,999,8094870050977809405,327812774925977185,value,legacy,-1,1,0,0,2,519,550,545,518,519,364,395,3,4,38,30,26,26,0,0,0,0,0
41,999,15870872133521185186,11788386011312806791,legacy,value,-1,1,0,0,2,25,10,27,24,25,10,14,1,0,1,3,1,0,0,0,0,0,0
