pair,seed,scenario_seed_p1,scenario_seed_p2,engine1,engine2,winner,dead1,dead2,capped,winner_reason,rounds,attack1,attack2,pieces1,pieces2,lines1,lines2,tspin_mini1,tspin_mini2,tspin_single1,tspin_single2,tspin_double1,tspin_double2,tspin_triple1,tspin_triple2,perfect_clear1,perfect_clear2,replay_failures
18,911,5946287644389567238,13921836471428336597,legacy,value,-1,1,0,0,2,176,187,198,175,176,130,141,3,0,9,13,10,5,0,0,0,0,0
18,911,5946287644389567238,13921836471428336597,value,legacy,1,0,1,0,1,259,274,263,259,258,195,179,3,3,11,17,19,14,0,0,0,0,0
19,911,3418832388620203992,7821808594887244613,legacy,value,1,0,1,0,1,115,118,104,115,114,80,69,1,0,7,4,7,7,0,0,0,0,0
19,911,3418832388620203992,7821808594887244613,value,legacy,-1,1,0,0,2,167,168,162,166,167,102,125,1,2,10,4,10,10,0,0,0,0,0
20,911,389035404683285100,15340995761970045670,legacy,value,1,0,1,0,1,114,136,126,114,113,100,85,1,3,3,7,4,5,0,0,0,0,0
20,911,389035404683285100,15340995761970045670,value,legacy,1,0,1,0,1,472,537,493,472,471,333,354,4,4,24,30,27,20,0,0,0,0,0
21,911,12867081656172827925,13964405027388174811,legacy,value,1,0,1,0,1,850,891,903,850,849,640,612,8,4,56,52,40,48,0,0,1,0,0
21,911,12867081656172827925,13964405027388174811,value,legacy,-1,1,0,0,2,88,81,93,87,88,49,58,1,1,4,3,7,8,0,0,0,0,0
22,911,7998480554296867458,6680598263050045053,legacy,value,-1,1,0,0,2,434,424,449,433,434,296,289,2,5,26,30,27,22,0,0,0,1,0
22,911,7998480554296867458,6680598263050045053,value,legacy,1,0,1,0,1,47,40,30,47,46,22,16,1,0,3,2,3,4,0,0,0,0,0
23,911,17519408476564675791,3444404006186070120,legacy,value,-1,1,0,0,2,647,671,694,646,647,474,473,3,6,35,44,32,32,0,1,2,0,0
23,911,17519408476564675791,3444404006186070120,value,legacy,-1,1,0,0,2,68,65,77,67,68,39,49,1,1,5,6,3,2,0,0,1,0,0
24,911,39843922449355996,1603351435531171459,legacy,value,-1,1,0,0,2,327,324,341,326,327,224,225,3,6,16,19,18,13,0,0,0,0,0
24,911,39843922449355996,1603351435531171459,value,legacy,-1,1,0,0,2,114,112,127,113,114,86,85,3,2,5,6,3,4,0,0,0,0,0
25,911,15003934210029354109,141481980495505160,legacy,value,1,0,1,0,1,1019,1042,1087,1019,1018,757,695,14,13,51,60,54,54,1,0,1,0,0
25,911,15003934210029354109,141481980495505160,value,legacy,1,0,1,0,1,364,409,376,364,363,261,268,2,6,21,16,20,19,0,0,0,0,0
26,911,8382184589012350992,2508342015360648231,legacy,value,1,0,1,0,1,172,184,187,172,171,129,111,0,0,10,12,4,10,0,0,0,0,0
26,911,8382184589012350992,2508342015360648231,value,legacy,-1,1,0,0,2,118,117,119,117,118,69,84,2,1,9,9,3,2,0,0,1,0,0
27,911,12623916412026153085,2675006017049972922,legacy,value,1,0,1,0,1,880,983,980,880,879,668,657,7,6,51,60,52,48,0,0,1,0,0
27,911,12623916412026153085,2675006017049972922,value,legacy,1,0,1,0,1,385,442,406,385,384,281,299,1,7,18,14,31,22,0,0,1,0,0
28,911,2907225942821021264,6906360116041269261,legacy,value,-1,1,0,0,2,162,162,172,161,162,105,111,2,0,12,10,5,10,0,0,0,0,0
28,911,2907225942821021264,6906360116041269261,value,legacy,1,0,1,0,1,409,470,438,409,408,293,307,2,5,25,19,19,27,0,0,0,0,0
29,911,1936129218878269580,6445388284630430061,legacy,value,1,0,1,0,1,250,247,250,250,249,177,159,3,3,16,18,12,12,0,0,0,2,0
29,911,1936129218878269580,6445388284630430061,value,legacy,-1,1,0,0,2,263,283,279,262,263,179,201,1,1,15,16,14,11,0,0,0,0,0
30,911,7713608377628992507,5390437220950926987,legacy,value,1,0,1,0,1,39,50,32,39,38,25,18,0,0,1,4,3,2,0,0,0,0,0
30,911,7713608377628992507,5390437220950926987,value,legacy,-1,1,0,0,2,172,180,195,171,172,121,128,1,2,12,12,4,5,0,0,1,0,0
31,911,47584093269219485,3818876085437975314,legacy,value,1,0,1,0,1,85,91,88,85,84,67,55,0,1,6,5,4,4,0,0,0,0,0
31,911,47584093269219485,3818876085437975314,value,legacy,1,0,1,0,1,87,83,69,87,86,53,52,2,0,2,8,6,3,0,0,0,0,0
32,911,16933665134286115873,17511303894596724925,legacy,value,1,0,1,0,1,332,342,352,332,331,257,235,5,4,21,21,16,18,0,0,0,0,0
32,911,16933665134286115873,17511303894596724925,value,legacy,-1,1,0,0,2,101,99,109,100,101,58,73,1,0,4,4,8,9,0,0,1,0,0
33,911,2660706812637043486,357821116140912659,legacy,value,1,0,1,0,1,35,36,21,35,34,24,14,0,0,2,2,2,2,0,0,0,0,0
33,911,2660706812637043486,357821116140912659,value,legacy,-1,1,0,0,2,296,304,302,295,296,200,215,4,4,22,19,10,14,0,0,2,0,0
34,911,4717306047362900572,7069311931891952726,legacy,value,-1,1,0,0,2,92,69,89,91,92,58,58,0,0,5,6,4,6,0,0,0,0,0
34,911,4717306047362900572,7069311931891952726,value,legacy,1,0,1,0,1,100,105,93,100,99,68,56,0,2,8,7,3,3,0,0,0,1,0
35,911,13892289852466506363,3367254359334031490,legacy,value,-1,1,0,0,2,517,515,560,516,517,376,356,4,7,28,24,30,36,0,0,0,2,0
35,911,13892289852466506363,3367254359334031490,value,legacy,-1,1,0,0,2,94,91,93,93,94,53,62,1,2,6,3,6,7,0,0,0,0,0
36,911,17944103390108882380,8709479380798356103,legacy,value,1,0,1,0,1,44,57,30,44,43,27,23,1,0,4,3,1,1,0,0,0,0,0
36,911,17944103390108882380,8709479380798356103,value,legacy,-1,1,0,0,2,165,163,170,164,165,111,113,2,4,8,8,11,6,0,0,0,0,0
37,911,3954125295466076122,6669634637567220520,legacy,value,-1,1,0,0,2,108,110,129,107,108,75,78,2,3,7,5,5,5,0,0,0,0,0
37,911,3954125295466076122,6669634637567220520,value,legacy,1,0,1,0,1,233,249,230,233,232,164,165,1,1,15,14,12,11,0,0,0,1,0
38,911,4703014373942081810,14250425540547818488,legacy,value,1,0,1,0,1,493,511,519,493,492,357,333,7,4,27,26,29,31,0,1,0,1,0
38,911,4703014373942081810,14250425540547818488,value,legacy,1,0,1,0,1,270,290,276,270,269,194,189,1,4,23,18,11,12,0,0,0,0,0
39,911,10384097506898460359,7314324232276274673,legacy,value,1,0,1,0,1,372,364,367,372,371,248,238,3,4,25,18,20,27,0,0,0,0,0
39,911,10384097506898460359,7314324232276274673,value,legacy,-1,1,0,0,2,55,42,48,54,55,25,33,0,0,6,4,1,3,0,0,0,0,0
40,911,4934860127558674194,1938195062602488307,legacy,value,-1,1,0,0,2,382,391,420,381,382,274,265,1,4,27,16,19,24,0,0,0,1,0
40,911,4934860127558674194,1938195062602488307,value,legacy,-1,1,0,0,2,56,53,49,55,56,28,40,0,0,1,3,4,2,0,0,0,0,0
41,911,13819329834812759649,9639176162959829948,legacy,value,1,0,1,0,1,456,495,485,456,455,353,334,6,6,19,26,23,27,0,0,0,0,0
41,911,13819329834812759649,9639176162959829948,value,legacy,-1,1,0,0,2,144,129,144,143,144,93,99,4,2,5,15,9,3,0,0,0,0,0
42,911,15504796214219859322,12647002118348565402,legacy,value,-1,1,0,0,2,527,571,591,526,527,399,400,4,8,28,33,31,23,0,0,0,1,0
42,911,15504796214219859322,12647002118348565402,value,legacy,-1,1,0,0,2,250,243,236,249,250,155,180,3,6,14,13,17,11,0,0,1,0,0
43,911,4853132675869244819,11132622141962121692,legacy,value,-1,1,0,0,2,210,208,228,209,210,159,160,0,3,15,8,7,12,0,0,0,0,0
43,911,4853132675869244819,11132622141962121692,value,legacy,-1,1,0,0,2,192,197,187,191,192,118,143,2,1,9,16,13,8,0,0,0,0,0
44,911,3057356403253940374,8735922684286729337,legacy,value,1,0,1,0,1,237,257,240,237,236,172,172,4,1,15,13,11,7,0,0,0,0,0
44,911,3057356403253940374,8735922684286729337,value,legacy,1,0,1,0,1,143,148,132,143,142,103,101,3,2,7,6,8,5,0,0,0,0,0
45,911,5331485878373575207,1130130535881447116,legacy,value,1,0,1,0,1,131,137,122,131,130,85,83,1,0,6,8,8,8,0,0,0,0,0
45,911,5331485878373575207,1130130535881447116,value,legacy,-1,1,0,0,2,43,39,47,42,43,21,31,0,0,3,2,3,3,0,0,0,0,0
46,911,1182691242067174898,4668080331502918678,legacy,value,1,0,1,0,1,267,301,304,267,266,206,188,2,3,15,20,15,13,0,0,0,0,0
46,911,1182691242067174898,4668080331502918678,value,legacy,1,0,1,0,1,38,45,30,38,37,22,18,0,0,4,2,1,3,0,0,0,0,0
47,911,13110806170946128775,5297639856834383335,legacy,value,1,0,1,0,1,159,169,158,159,158,121,115,1,1,9,9,11,9,0,0,0,0,0
47,911,13110806170946128775,5297639856834383335,value,legacy,-1,1,0,0,2,85,86,106,84,85,60,66,0,0,7,8,3,2,0,0,0,0,0
48,911,8464758087206283149,18369928552903734732,legacy,value,1,0,1,0,1,640,664,670,640,639,474,454,7,5,40,39,32,29,0,0,1,0,0
48,911,8464758087206283149,18369928552903734732,value,legacy,-1,1,0,0,2,109,96,111,108,109,60,66,2,0,6,5,7,8,0,0,0,0,0
49,911,10430146895352616365,5565249684880638936,legacy,value,1,0,1,0,1,68,64,57,68,67,45,37,0,1,5,4,4,4,0,0,0,0,0
49,911,10430146895352616365,5565249684880638936,value,legacy,-1,1,0,0,2,133,140,137,132,133,82,97,1,0,8,8,9,11,0,0,0,0,0
50,911,8040121933819145250,17877592329552190023,legacy,value,-1,1,0,0,2,706,768,832,705,706,550,510,5,4,41,45,34,41,0,0,0,0,0
50,911,8040121933819145250,17877592329552190023,value,legacy,1,0,1,0,1,61,63,47,61,60,41,38,2,1,4,5,2,1,0,0,0,0,0
51,911,8533895513068459711,12986542178061722435,legacy,value,-1,1,0,0,2,687,685,720,686,687,492,481,5,5,47,43,28,35,0,0,1,1,0
51,911,8533895513068459711,12986542178061722435,value,legacy,-1,1,0,0,2,53,46,52,52,53,25,34,0,1,2,1,4,5,0,0,1,0,0
52,911,5070526809028020122,2725303809240838374,legacy,value,1,0,1,0,1,175,209,192,175,174,133,119,0,0,14,14,7,8,0,0,0,0,0
52,911,5070526809028020122,2725303809240838374,value,legacy,1,0,1,0,1,515,597,542,515,514,362,394,5,7,28,28,27,23,0,0,0,1,0
53,911,10760386151699172770,386441213068737020,legacy,value,1,0,1,0,1,205,222,226,205,204,167,148,5,4,10,10,6,8,0,0,0,0,0
53,911,10760386151699172770,386441213068737020,value,legacy,-1,1,0,0,2,58,51,67,57,58,35,40,0,1,3,3,5,4,0,0,0,0,0
54,911,13430264361711666356,9857946730369739588,legacy,value,-1,1,0,0,2,109,99,107,108,109,65,74,1,1,3,7,10,7,0,0,0,0,0
54,911,13430264361711666356,9857946730369739588,value,legacy,-1,1,0,0,2,37,31,49,36,37,21,25,0,1,3,1,2,3,0,0,0,0,0
55,911,9702133271628713308,5213697389382736506,legacy,value,1,0,1,0,1,67,78,63,67,66,44,36,2,0,4,2,2,6,0,0,0,1,0
55,911,9702133271628713308,5213697389382736506,value,legacy,1,0,1,0,1,67,72,59,67,66,46,39,1,1,3,1,5,6,0,0,0,0,0
56,911,6123164798435370268,10941003292797095753,legacy,value,1,0,1,0,1,50,55,36,50,49,30,26,0,3,4,2,3,2,0,0,0,0,0
56,911,6123164798435370268,10941003292797095753,value,legacy,1,0,1,0,1,54,57,41,54,53,36,29,1,0,4,2,2,5,0,0,0,0,0
57,911,8728947298873483413,10742718129553060595,legacy,value,-1,1,0,0,2,160,147,160,159,160,113,114,2,2,10,10,10,7,0,0,0,1,0
57,911,8728947298873483413,10742718129553060595,value,legacy,1,0,1,0,1,30,38,23,30,29,21,15,0,0,2,2,1,1,0,0,0,1,0
58,911,8484292048153428598,8353768811501537685,legacy,value,-1,1,0,0,2,430,415,447,429,430,305,290,6,2,24,30,21,21,0,0,0,0,0
58,911,8484292048153428598,8353768811501537685,value,legacy,1,0,1,0,1,123,129,116,123,122,77,80,1,2,9,8,7,1,0,0,0,0,0
59,911,6919577111500003758,406687496322064352,legacy,value,1,0,1,0,1,359,368,386,359,358,273,248,1,4,20,17,20,24,0,0,0,0,0
59,911,6919577111500003758,406687496322064352,value,legacy,-1,1,0,0,2,64,52,82,63,64,38,44,0,1,6,4,2,3,0,0,0,0,0
60,911,15205023520838135188,5303538863182819032,legacy,value,-1,1,0,0,2,390,405,426,389,390,279,275,5,6,19,18,17,26,0,0,0,0,0
60,911,15205023520838135188,5303538863182819032,value,legacy,1,0,1,0,1,442,480,445,442,441,298,311,3,2,24,27,28,25,0,0,0,0,0
61,911,11752482674831769183,8257738796983227869,legacy,value,1,0,1,0,1,95,85,80,95,94,66,53,2,1,9,5,1,7,0,0,0,0,0
61,911,11752482674831769183,8257738796983227869,value,legacy,-1,1,0,0,2,350,384,380,349,350,252,275,3,6,20,16,21,16,0,0,0,0,0
62,911,6685357078303526399,4755883951222426575,legacy,value,1,0,1,0,1,431,483,464,431,430,319,311,8,7,23,25,22,22,0,0,0,1,0
62,911,6685357078303526399,4755883951222426575,value,legacy,-1,1,0,0,2,179,191,187,178,179,112,133,3,0,13,10,5,9,0,0,0,1,0
63,911,9976604464346522967,9927134489852960586,legacy,value,1,0,1,0,1,375,389,391,375,374,281,264,5,1,28,23,16,22,0,0,0,1,0
63,911,9976604464346522967,9927134489852960586,value,legacy,1,0,1,0,1,408,446,409,408,407,284,308,6,6,25,21,23,18,0,0,1,1,0
64,911,6221369803482113205,3489173766730671497,legacy,value,1,0,1,0,1,373,408,425,373,372,291,259,1,1,20,19,18,25,0,0,1,0,0
64,911,6221369803482113205,3489173766730671497,value,legacy,1,0,1,0,1,94,96,82,94,93,61,55,1,0,6,7,4,4,0,0,0,0,0
65,911,10673861672002627737,6265772309208496521,legacy,value,1,0,1,0,1,423,459,458,423,422,319,306,2,4,28,25,23,21,0,0,0,0,0
65,911,10673861672002627737,6265772309208496521,value,legacy,-1,1,0,0,2,89,89,86,88,89,50,68,0,1,4,4,7,4,0,0,0,0,0
66,911,3609764544995577980,5877765793795542371,legacy,value,-1,1,0,0,2,144,156,175,143,144,103,103,0,1,7,10,10,7,0,0,0,0,0
66,911,3609764544995577980,5877765793795542371,value,legacy,1,0,1,0,1,500,542,491,500,499,349,372,3,9,32,24,30,22,0,0,1,0,0
67,911,6966368351366974085,5150005541072818531,legacy,value,1,0,1,0,1,244,260,246,244,243,165,152,3,5,15,13,12,13,0,0,0,0,0
67,911,6966368351366974085,5150005541072818531,value,legacy,-1,1,0,0,2,1314,1433,1382,1313,1314,927,992,11,11,76,87,72,63,0,0,3,1,0
68,911,10676218077135082397,5541844397637710586,legacy,value,-1,1,0,0,2,151,143,160,150,151,99,97,1,1,9,8,10,12,0,0,0,0,0
68,911,10676218077135082397,5541844397637710586,value,legacy,-1,1,0,0,2,102,92,113,101,102,66,64,0,0,8,5,4,9,0,0,0,0,0
69,911,5125970340829424246,18199823339312781008,legacy,value,-1,1,0,0,2,37,28,43,36,37,17,21,0,0,1,4,3,1,0,0,0,0,0
69,911,5125970340829424246,18199823339312781008,value,legacy,1,0,1,0,1,49,63,42,49,48,29,26,0,0,2,4,4,2,0,0,0,0,0
70,911,17011248321659059752,8069825298315675576,legacy,value,-1,1,0,0,2,686,693,707,685,686,481,492,8,6,42,48,39,31,0,0,0,0,0
70,911,17011248321659059752,8069825298315675576,value,legacy,-1,1,0,0,2,58,59,68,57,58,41,44,0,0,4,3,2,4,0,0,0,0,0
71,911,7973444562152899622,16081656896987857873,legacy,value,1,0,1,0,1,351,368,362,351,350,271,256,3,4,18,13,18,23,0,0,0,0,0
71,911,7973444562152899622,16081656896987857873,value,legacy,-1,1,0,0,2,299,313,312,298,299,206,222,2,1,22,19,13,12,0,0,1,0,0
72,911,13320712773019236191,2465904557744174307,legacy,value,1,0,1,0,1,298,305,303,298,297,224,213,2,3,24,18,11,16,0,0,0,0,0
72,911,13320712773019236191,2465904557744174307,value,legacy,-1,1,0,0,2,185,189,207,184,185,128,139,4,2,6,13,14,10,0,0,0,0,0
73,911,7855152692323958569,5610318491260138760,legacy,value,1,0,1,0,1,240,243,243,240,239,174,155,2,1,7,14,19,17,0,0,0,0,0
73,911,7855152692323958569,5610318491260138760,value,legacy,-1,1,0,0,2,34,20,27,33,34,10,17,0,1,2,2,2,1,0,0,0,0,0
74,911,14651320249453118107,6091076545367541376,legacy,value,-1,1,0,0,2,92,72,92,91,92,48,49,0,2,4,6,7,5,0,0,0,0,0
74,911,14651320249453118107,6091076545367541376,value,legacy,-1,1,0,0,2,317,333,321,316,317,197,230,0,2,18,14,21,20,0,0,0,0,0
75,911,14740868159836065623,12348610967229954539,legacy,value,1,0,1,0,1,379,413,406,379,378,290,272,1,4,25,21,19,27,0,0,1,0,0
75,911,14740868159836065623,12348610967229954539,value,legacy,-1,1,0,0,2,253,270,254,252,253,159,182,2,3,16,18,14,9,0,0,0,0,0
76,911,1693124198396511736,14885274521828884920,legacy,value,1,0,1,0,1,87,89,77,87,86,53,48,0,1,5,5,7,5,0,0,0,0,0
76,911,1693124198396511736,14885274521828884920,value,legacy,1,0,1,0,1,244,273,231,244,243,163,183,2,3,15,17,11,8,1,0,0,0,0
77,911,6690268309691174727,18232290490310929677,legacy,value,-1,1,0,0,2,167,156,175,166,167,111,119,1,1,8,7,11,12,0,0,0,1,0
77,911,6690268309691174727,18232290490310929677,value,legacy,1,0,1,0,1,178,191,182,178,177,132,125,1,1,9,9,12,12,0,0,0,0,0
78,911,14654293137615550177,7152404713818667175,legacy,value,1,0,1,0,1,182,205,208,182,181,144,124,3,1,11,9,8,11,0,0,0,0,0
78,911,14654293137615550177,7152404713818667175,value,legacy,1,0,1,0,1,434,486,458,434,433,317,310,7,1,32,24,17,27,0,0,0,0,0
79,911,3041386957973820282,13515143181677806211,legacy,value,-1,1,0,0,2,302,298,336,301,302,226,209,4,4,19,15,13,21,0,0,1,0,0
79,911,3041386957973820282,13515143181677806211,value,legacy,-1,1,0,0,2,158,168,173,157,158,108,123,3,2,8,12,7,5,0,0,1,0,0
