# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'cycles:u'
# Event count (approx.): 46501907673
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.07%  [.] std::pair<contiguous_hash<chash_map_config_t<m_tetris::TetrisBlockStatus, m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>*, std::integral_constant<bool, true>, m_tetris::TetrisBlockStatusHash, m_tetris::TetrisBlockStatusEqual, std::allocator<std::pair<m_tetris::TetrisBlockStatus const, m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>*> > > >::iterator, bool> contiguous_hash<chash_map_config_t<m_tetris::TetrisBlockStatus, m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>*, std::integral_constant<bool, true>, m_tetris::TetrisBlockStatusHash, m_tetris::TetrisBlockStatusEqual, std::allocator<std::pair<m_tetris::TetrisBlockStatus const, m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>*> > > >::emplace<m_tetris::TetrisBlockStatus const&, m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>*&>(m_tetris::TetrisBlockStatus const&, m_tetris::TetrisTreeNode<ai_zzz::TOJ::Status, (anonymous namespace)::ProfiledTOJ, (anonymous namespace)::ProfiledSearch>*&) [clone .isra.0]  -      -            
     0.05%  [.] 0x00000000001b80dd                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.05%  [.] 0x00000000001b81f6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.05%  [.] m_tetris::TetrisContext::prepare(int, int) [clone .constprop.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.04%  [.] 0x00000000001b81ef                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.04%  [.] m_tetris::TetrisContext::create(m_tetris::TetrisBlockStatus const&, m_tetris::TetrisNode&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.03%  [.] 0x00000000001b81fd                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.03%  [.] 0x00000000001b88d5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.02%  [.] 0x00000000001b81cd                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.02%  [k] 0xffffffff83601298                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
