pair,seed,scenario_seed_p1,scenario_seed_p2,engine1,engine2,winner,dead1,dead2,capped,winner_reason,rounds,attack1,attack2,pieces1,pieces2,lines1,lines2,tspin_mini1,tspin_mini2,tspin_single1,tspin_single2,tspin_double1,tspin_double2,tspin_triple1,tspin_triple2,perfect_clear1,perfect_clear2,replay_failures
18,910,7628413509391057413,11054298641144062891,legacy,value,-1,1,0,0,2,206,195,227,205,206,144,140,1,0,12,15,11,11,0,0,0,1,0
18,910,7628413509391057413,11054298641144062891,value,legacy,1,0,1,0,1,329,354,329,329,328,229,234,3,6,14,17,24,17,0,0,0,0,0
19,910,16950641342175967654,4205905828634792514,legacy,value,1,0,1,0,1,696,700,714,696,695,504,470,6,7,48,40,24,42,0,0,0,0,0
19,910,16950641342175967654,4205905828634792514,value,legacy,1,0,1,0,1,43,44,36,43,42,30,20,0,0,3,2,3,2,0,0,0,1,0
20,910,9753934618354907313,11176302375964664630,legacy,value,1,0,1,0,1,175,187,176,175,174,123,112,2,2,9,10,11,10,0,0,0,0,0
20,910,9753934618354907313,11176302375964664630,value,legacy,1,0,1,0,1,38,52,31,38,37,26,20,0,0,2,2,2,3,0,0,0,0,0
21,910,3275774562856899547,4331745769569399893,legacy,value,1,0,1,0,1,201,203,199,201,200,148,134,3,2,9,10,9,14,0,0,0,0,0
21,910,3275774562856899547,4331745769569399893,value,legacy,-1,1,0,0,2,125,119,124,124,125,81,94,0,0,10,6,7,6,0,0,0,0,0
22,910,15441974955954097966,16152107209152627900,legacy,value,1,0,1,0,1,105,110,93,105,104,67,67,0,2,8,6,5,5,0,0,0,0,0
22,910,15441974955954097966,16152107209152627900,value,legacy,-1,1,0,0,2,473,490,483,472,473,327,347,3,4,31,37,26,20,1,0,1,0,0
23,910,6819697308607634126,2854348484942087509,legacy,value,-1,1,0,0,2,71,64,75,70,71,37,44,2,2,3,3,4,4,0,0,0,0,0
23,910,6819697308607634126,2854348484942087509,value,legacy,-1,1,0,0,2,53,46,57,52,53,27,34,0,0,5,4,2,4,0,0,0,0,0
24,910,4830392501459415909,7891351441533489093,legacy,value,1,0,1,0,1,566,565,584,566,565,424,393,5,5,30,38,28,27,0,0,0,1,0
24,910,4830392501459415909,7891351441533489093,value,legacy,-1,1,0,0,2,375,429,402,374,375,268,303,3,6,26,21,21,18,0,0,0,0,0
25,910,7751818002299324411,2924642511133746053,legacy,value,-1,1,0,0,2,82,67,83,81,82,49,50,1,0,5,5,4,5,0,0,0,0,0
25,910,7751818002299324411,2924642511133746053,value,legacy,-1,1,0,0,2,61,48,53,60,61,26,34,0,1,3,2,5,6,0,0,0,0,0
26,910,18074842203833652848,14006532511897387381,legacy,value,1,0,1,0,1,672,711,685,672,671,476,481,5,6,39,46,37,27,0,0,0,0,0
26,910,18074842203833652848,14006532511897387381,value,legacy,-1,1,0,0,2,157,158,169,156,157,103,106,0,0,13,8,8,13,0,0,0,0,0
27,910,5080446193254510537,7726987578331606847,legacy,value,1,0,1,0,1,41,33,23,41,40,18,11,0,0,2,3,4,2,0,0,0,0,0
27,910,5080446193254510537,7726987578331606847,value,legacy,1,0,1,0,1,46,49,37,46,45,30,24,0,0,3,2,3,4,0,0,0,0,0
28,910,16226160246890435929,13951472204623830769,legacy,value,1,0,1,0,1,334,377,350,334,333,247,248,5,1,19,20,14,18,0,0,0,0,0
28,910,16226160246890435929,13951472204623830769,value,legacy,1,0,1,0,1,94,119,89,94,93,67,71,1,0,6,4,5,5,0,0,0,0,0
29,910,10871405053112162468,14314063567920656129,legacy,value,-1,1,0,0,2,41,28,39,40,41,17,19,1,0,3,2,1,4,0,0,0,0,0
29,910,10871405053112162468,14314063567920656129,value,legacy,1,0,1,0,1,30,35,22,30,29,16,11,1,0,1,1,1,3,0,0,0,0,0
30,910,4383102270537287610,7374082039627622296,legacy,value,1,0,1,0,1,328,337,346,328,327,248,219,2,3,26,19,13,17,0,0,0,0,0
30,910,4383102270537287610,7374082039627622296,value,legacy,-1,1,0,0,2,207,234,235,206,207,144,161,3,0,14,12,9,12,0,0,0,0,0
31,910,15547753239202657169,17772484910764115501,legacy,value,-1,1,0,0,2,64,54,62,63,64,31,39,0,1,6,3,2,4,0,0,1,1,0
31,910,15547753239202657169,17772484910764115501,value,legacy,1,0,1,0,1,338,352,317,338,337,216,228,1,3,20,20,20,16,0,0,1,1,0
